LDist,Dist,LorR,Type
1,7,Left,Bag
1,8,Left,Bag
1,5,Left,Bag
1,8,Left,Bag
1,4,Right,Bag
1,4,Right,Bag
1,2,Right,Bag
2,3,Left,Bag
2,5,Right,Bag
3,4,Left,Bag
3,5,Left,Bag
3,20,Left,Bag
3,6,Left,Bag
3,4,Right,Bag
3,2,Right,Bag
3,1,Right,Bag
3,2,Right,Bag
4,5,Left,Bag
4,4,Left,Bag
4,4,Left,Bag
4,2,Left,Bag
4,3,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,4,Left,Bag
4,6,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,8,Left,Bag
4,7,Left,Bag
4,3,Left,Bag
4,5,Left,Bag
4,6,Left,Bag
4,6,Left,Bag
4,6,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,6,Left,Bag
4,7,Left,Bag
4,7,Left,Bag
4,3,Left,Bag
4,4,Left,Bag
4,6,Left,Bag
4,5,Left,Bag
4,5,Left,Bag
4,4,Right,Bag
4,2,Right,Bag
4,4,Right,Bag
4,10,Right,Bag
4,3,Right,Bag
4,2,Right,Bag
4,2,Right,Bag
4,3,Right,Bag
4,4,Right,Bag
4,2,Right,Bag
4,4,Right,Bag
4,4,Right,Bag
4,2,Right,Bag
4,3,Right,Bag
4,5,Right,Bag
4,6,Right,Bag
4,2,Right,Bag
4,5,Right,Bag
4,4,Right,Bag
4,4,Right,Bag
4,3,Right,Bag
4,2,Right,Bag
4,3,Right,Bag
4,4,Right,Bag
4,3,Right,Bag
4,4,Right,Bag
4,3,Right,Bag
4,2,Right,Bag
4,3,Right,Bag
5,5,Left,Bag
5,8,Left,Bag
5,5,Left,Bag
5,6,Left,Bag
5,5,Left,Bag
5,4,Left,Bag
5,5,Left,Bag
5,7,Left,Bag
5,6,Left,Bag
5,2,Left,Bag
5,4,Left,Bag
5,5,Left,Bag
5,3,Left,Bag
5,5,Left,Bag
5,6,Left,Bag
5,8,Left,Bag
5,5,Left,Bag
5,8,Left,Bag
5,5,Left,Bag
5,4,Left,Bag
5,5,Left,Bag
5,5,Left,Bag
5,6,Left,Bag
5,7,Left,Bag
5,4,Left,Bag
5,6,Left,Bag
5,8,Left,Bag
5,4,Left,Bag
5,7,Left,Bag
5,10,Left,Bag
5,9,Left,Bag
5,5,Left,Bag
5,8,Left,Bag
5,10,Left,Bag
5,4,Left,Bag
5,5,Left,Bag
5,3,Left,Bag
5,5,Left,Bag
5,5,Left,Bag
5,8,Left,Bag
5,7,Left,Bag
5,7,Left,Bag
5,8,Left,Bag
5,4,Right,Bag
5,5,Right,Bag
5,2,Right,Bag
5,5,Right,Bag
5,6,Right,Bag
5,2,Right,Bag
5,3,Right,Bag
5,5,Right,Bag
5,5,Right,Bag
5,4,Right,Bag
5,3,Right,Bag
5,1,Right,Bag
5,5,Right,Bag
5,6,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,4,Right,Bag
5,4,Right,Bag
5,3,Right,Bag
5,5,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,5,Right,Bag
5,5,Right,Bag
5,5,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,2,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,4,Right,Bag
5,4,Right,Bag
5,4,Right,Bag
5,2,Right,Bag
5,4,Right,Bag
5,5,Right,Bag
5,4,Right,Bag
5,3,Right,Bag
5,5,Right,Bag
5,3,Right,Bag
5,3,Right,Bag
5,2,Right,Bag
5,3,Right,Bag
6,5,Left,Bag
6,2,Right,Bag
6,3,Right,Bag
6,3,Right,Bag
7,6,Left,Bag
7,6,Left,Bag
7,4,Left,Bag
7,8,Left,Bag
8,7,Left,Bag
9,4,Left,Bag
10,7,Left,Bag
10,12,Left,Bag
10,5,Left,Bag
11,10,Left,Bag
11,10,Left,Bag
11,2,Left,Bag
11,15,Left,Bag
12,11,Left,Bag
12,7,Left,Bag
12,15,Left,Bag
12,6,Left,Bag
12,15,Left,Bag
12,10,Left,Bag
13,11,Left,Bag
13,6,Left,Bag
13,3,Left,Bag
13,9,Left,Bag
13,12,Left,Bag
14,5,Left,Bag
14,10,Left,Bag
14,4,Right,Bag
17,17,Left,Bag
19,30,Left,Bag
20,12,Left,Bag
20,10,Left,Bag
20,15,Left,Bag
24,30,Left,Bag
32,17,Left,Bag
38,20,Left,Bag
39,10,Left,Bag
39,20,Left,Bag
39,5,Left,Bag
39,10,Left,Bag
40,17,Left,Bag
40,15,Left,Bag
40,15,Left,Bag
40,12,Left,Bag
40,15,Left,Bag
40,6,Left,Bag
40,30,Left,Bag
40,9,Left,Bag
40,10,Left,Bag
40,20,Left,Bag
40,6,Left,Bag
41,10,Left,Bag
41,16,Left,Bag
41,30,Left,Bag
42,4,Left,Bag
42,15,Left,Bag
43,6,Left,Bag
43,14,Left,Bag
46,10,Left,Bag
