LDist,Dist,LorR,Type
41,2,Right,Eyeglasses
41,6,Right,Eyeglasses
40,4,Right,Eyeglasses
40,2,Right,Eyeglasses
38,2,Right,Eyeglasses
41,2,Right,Eyeglasses
37,4,Right,Eyeglasses
41,2,Right,Eyeglasses
17,7,Right,Eyeglasses
14,2,Right,Eyeglasses
16,5,Right,Eyeglasses
14,1,Right,Eyeglasses
17,5,Right,Eyeglasses
17,5,Right,Eyeglasses
16,3,Right,Eyeglasses
17,5,Right,Eyeglasses
16,7,Right,Eyeglasses
42,3,Left,Eyeglasses
17,10,Right,Eyeglasses
47,15,Right,Eyeglasses
47,1,Right,Eyeglasses
17,6,Right,Eyeglasses
17,4,Right,Eyeglasses
13,2,Right,Eyeglasses
42,5,Right,Eyeglasses
40,3,Right,Eyeglasses
41,2,Right,Eyeglasses
41,3,Right,Eyeglasses
48,1,Left,Eyeglasses
41,2,Right,Eyeglasses
41,3,Right,Eyeglasses
41,2,Right,Eyeglasses
41,2,Right,Eyeglasses
41,1,Right,Eyeglasses
41,2,Right,Eyeglasses
41,3,Right,Eyeglasses
41,3,Right,Eyeglasses
41,1,Right,Eyeglasses
41,2,Right,Eyeglasses
41,1,Right,Eyeglasses
41,2,Right,Eyeglasses
49,1,Left,Eyeglasses
12,1,Left,Eyeglasses
41,1,Right,Eyeglasses
34,1,Right,Eyeglasses
41,2,Right,Eyeglasses
20,3,Right,Eyeglasses
34,13,Right,Eyeglasses
41,1,Right,Eyeglasses
42,1,Right,Eyeglasses
35,8,Left,Eyeglasses
41,2,Right,Eyeglasses
41,2,Right,Eyeglasses
41,2,Right,Eyeglasses
