LDist,Dist,LorR,Type
1,2,Right,Shoe
1,8,Right,Shoe
2,3,Left,Shoe
3,4,Left,Shoe
6,5,Left,Shoe
7,3,Left,Shoe
7,1,Right,Shoe
8,2,Left,Shoe
8,3,Left,Shoe
8,4,Left,Shoe
8,5,Left,Shoe
8,3,Left,Shoe
8,4,Left,Shoe
8,5,Left,Shoe
8,3,Left,Shoe
8,3,Left,Shoe
8,2,Left,Shoe
8,2,Left,Shoe
9,4,Left,Shoe
9,10,Left,Shoe
9,2,Left,Shoe
9,2,Left,Shoe
9,3,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,4,Left,Shoe
9,4,Left,Shoe
9,1,Left,Shoe
9,2,Left,Shoe
9,3,Left,Shoe
9,5,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,4,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,1,Left,Shoe
9,4,Left,Shoe
9,4,Left,Shoe
9,6,Left,Shoe
9,6,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,5,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,1,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,2,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,1,Left,Shoe
9,2,Left,Shoe
9,2,Left,Shoe
9,3,Left,Shoe
9,4,Left,Shoe
9,3,Left,Shoe
9,3,Left,Shoe
9,2,Left,Shoe
9,4,Left,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
9,1,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,3,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,2,Right,Shoe
9,1,Right,Shoe
10,4,Left,Shoe
10,2,Left,Shoe
10,2,Left,Shoe
10,3,Left,Shoe
10,3,Left,Shoe
10,4,Left,Shoe
10,3,Left,Shoe
10,3,Left,Shoe
10,1,Left,Shoe
10,4,Left,Shoe
10,2,Left,Shoe
10,3,Left,Shoe
10,2,Right,Shoe
10,2,Right,Shoe
10,1,Right,Shoe
10,2,Right,Shoe
10,1,Right,Shoe
10,1,Right,Shoe
10,2,Right,Shoe
10,2,Right,Shoe
11,9,Left,Shoe
11,2,Right,Shoe
12,10,Left,Shoe
12,9,Left,Shoe
12,5,Left,Shoe
12,4,Left,Shoe
12,10,Left,Shoe
12,9,Left,Shoe
12,8,Left,Shoe
12,10,Left,Shoe
12,12,Left,Shoe
12,13,Left,Shoe
12,10,Left,Shoe
12,7,Left,Shoe
12,6,Right,Shoe
12,10,Right,Shoe
12.5,8,Left,Shoe
13,12,Left,Shoe
13,11,Left,Shoe
13,9,Left,Shoe
13,8,Left,Shoe
13,9,Left,Shoe
13,4,Left,Shoe
13,4,Left,Shoe
13,8,Left,Shoe
13,7,Left,Shoe
13,10,Left,Shoe
13,11,Left,Shoe
13,6,Left,Shoe
13,10,Left,Shoe
13,5,Left,Shoe
13,7,Left,Shoe
13,8,Left,Shoe
13,10,Left,Shoe
