LDist,Dist,LorR,Type
7,4,Left,Bag
11,1,Left,Shoe
16,2,Right,Cloth
23,10,Right,Bag
23,3,Left,Cloth
36,1,Right,Cloth
36,1,Right,Bag
4,4,Left,Bag
7,17,Left,Bag
8,2,Left,Shoe
16,5,Left,Shoe
16,8,Right,Shoe
21,10,Left,Cloth
22,5,Right,Bag
26,3,Right,Shoe
32,3,Right,Bag
36,1,Right,Cloth
36,1,Right,Bag
38,2,Right,Eyeglasses
8,3,Left,Bag
12,1,Right,Shoe
21,5,Left,Shoe
26,2,Right,Shoe
26,3,Left,Cloth
26,6,Right,Bag
26,3,Right,Shoe
36,1,Right,Bag
36,1,Right,Cloth
47,10,Right,Bag
49,4,Right,Cloth
7,3,Left,Bag
12,1,Right,Shoe
14,1,Right,Eyeglasses
17,5,Right,Eyeglasses
20,10,Left,Shoe
25,6,Right,Bag
26,3,Right,Shoe
26,2,Right,Shoe
36,1,Right,Bag
38,5,Left,Shoe
42,1,Right,Cloth
49,2,Right,Cloth
7,2,Left,Bag
12,1,Right,Shoe
16,3,Right,Eyeglasses
20,5,Left,Shoe
25,2,Left,Cloth
25,5,Right,Bag
36,1,Right,Cloth
26,3,Right,Cloth
35,1,Right,Cloth
35,1,Right,Bag
37,5,Left,Shoe
48,8,Right,Bag
49,4,Right,Cloth
7,5,Left,Bag
12,1,Right,Shoe
19,10,Left,Shoe
25,15,Right,Bag
27,5,Right,Shoe
27,7,Right,Shoe
35,1,Right,Cloth
35,1,Right,Bag
37,20,Left,Shoe
47,30,Right,Bag
50,10,Right,Cloth
6,5,Left,Bag
12,12,Right,Shoe
26,3,Right,Shoe
35,20,Right,Bag
47,20,Right,Bag
38,25,Left,Shoe
7,4,Left,Bag
12,1,Right,Shoe
17,5,Right,Eyeglasses
19,6,Left,Shoe
26,2,Left,Cloth
27,2,Right,Shoe
27,4,Right,Shoe
26,5,Right,Bag
36,1,Right,Cloth
36,1,Right,Bag
39,7,Left,Shoe
49,9,Right,Bag
50,4,Right,Cloth
7,4,Left,Bag
12,1,Right,Shoe
16,7,Right,Cloth
21,8,Left,Shoe
23,10,Left,Cloth
24,7,Left,Shoe
25,2,Left,Cloth
27,2,Right,Shoe
27,7,Right,Bag
27,4,Right,Shoe
29,12,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
38,9,Left,Shoe
44,7,Right,Cloth
49,10,Right,Cloth
50,5,Right,Cloth
7,4,Left,Bag
12,1,Right,Shoe
16,7,Right,Eyeglasses
20,12,Left,Shoe
21,14,Left,Cloth
25,7,Right,Bag
25,3,Left,Cloth
26,2,Right,Shoe
26,3,Right,Shoe
28,20,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
37,7,Left,Shoe
42,3,Left,Eyeglasses
48,20,Right,Bag
50,5,Right,Cloth
7,5,Left,Bag
12,1,Right,Shoe
17,10,Right,Eyeglasses
20,13,Left,Shoe
22,16,Left,Cloth
24,13,Left,Shoe
26,3,Left,Cloth
26,7,Right,Shoe
26,3,Right,Shoe
25,11,Right,Bag
36,1,Right,Bag
36,1,Right,Cloth
39,10,Right,Shoe
43,8,Right,Cloth
47,15,Right,Eyeglasses
47,12,Right,Bag
49,7,Right,Shoe
5,15,Left,Bag
7,5,Left,Bag
12,1,Right,Shoe
19,15,Left,Shoe
21,20,Left,Cloth
25,5,Left,Cloth
26,5,Right,Shoe
26,7,Right,Shoe
25,15,Right,Bag
28,20,Right,Shoe
35,1,Right,Cloth
35,1,Right,Bag
35,15,Left,Shoe
39,25,Right,Cloth
47,20,Right,Bag
47,1,Right,Eyeglasses
49,7,Right,Cloth
7,5,Left,Bag
12,1,Right,Shoe
20,8,Left,Shoe
21,11,Left,Cloth
25,2,Left,Cloth
25,7,Right,Bag
26,2,Right,Shoe
26,4,Right,Shoe
35,1,Right,Cloth
35,1,Right,Bag
47,12,Right,Bag
49,7,Right,Cloth
6,3,Left,Bag
12,1,Right,Shoe
19,2,Left,Shoe
21,5,Left,Cloth
24,4,Left,Shoe
25,2,Left,Cloth
25,3,Right,Bag
26,1,Right,Shoe
26,2,Right,Shoe
35,1,Right,Cloth
35,1,Right,Bag
38,3,Left,Shoe
49,2,Right,Cloth
7,3,Left,Cloth
15,5,Right,Cloth
20,5,Left,Shoe
24,2,Left,Cloth
26,2,Right,Shoe
26,5,Right,Bag
36,1,Right,Bag
50,3,Right,Cloth
4,3,Left,Cloth
12,1,Right,Shoe
13,2,Right,Eyeglasses
21,4,Left,Shoe
26,5,Right,Bag
27,3,Right,Shoe
27,4,Right,Shoe
26,3,Left,Cloth
35,1,Right,Bag
35,1,Right,Cloth
6,4,Left,Bag
12,1,Right,Shoe
20,8,Left,Shoe
26,3,Left,Cloth
26,7,Right,Bag
27,2,Right,Shoe
27,4,Right,Shoe
36,1,Right,Bag
38,6,Left,Shoe
48,10,Right,Bag
49,4,Right,Cloth
6,3,Left,Bag
12,1,Right,Shoe
19,5,Left,Shoe
26,5,Right,Bag
27,2,Right,Shoe
27,3,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
49,3,Right,Cloth
7,11,Left,Bag
12,1,Right,Shoe
17,14,Left,Shoe
21,14,Left,Shoe
27,4,Right,Shoe
24,12,Right,Bag
27,7,Left,Cloth
35,1,Right,Bag
42,5,Right,Eyeglasses
46,12,Right,Cloth
8,3,Left,Bag
10,2,Left,Shoe
15,6,Left,Shoe
20,7,Left,Cloth
22,7,Right,Cloth
23,3,Left,Cloth
24,10,Right,Shoe
26,3,Right,Shoe
27,5,Right,Shoe
29,9,Left,Shoe
36,1,Right,Bag
40,3,Right,Eyeglasses
41,9,Left,Cloth
47,10,Right,Bag
50,5,Right,Cloth
12,8,Left,Shoe
23,12,Left,Shoe
24,10,Left,Cloth
25,2,Left,Cloth
27,2,Right,Shoe
37,1,Right,Bag
41,3,Right,Eyeglasses
41,20,Left,Shoe
47,25,Right,Bag
49,15,Right,Cloth
8,4,Left,Bag
12,2,Left,Shoe
11,8,Left,Bag
17,5,Left,Shoe
17,6,Right,Cloth
24,6,Right,Bag
25,9,Right,Shoe
24,8,Left,Shoe
25,3,Left,Cloth
24,6,Left,Cloth
24,5,Right,Shoe
27,3,Right,Shoe
35,1,Right,Bag
41,3,Right,Eyeglasses
48,10,Right,Bag
49,5,Right,Cloth
9,3,Left,Bag
12,1,Left,Shoe
16,5,Left,Shoe
17,7,Right,Cloth
24,6,Left,Shoe
24,5,Right,Bag
25,1,Left,Shoe
26,8,Right,Shoe
36,1,Right,Bag
41,1,Right,Eyeglasses
40,7,Left,Cloth
48,8,Right,Bag
8,3,Left,Bag
12,1,Left,Shoe
17,4,Left,Shoe
24,5,Right,Bag
23,2,Left,Cloth
26,3,Right,Shoe
26,7,Right,Shoe
27,2,Right,Shoe
36,1,Right,Bag
41,2,Right,Eyeglasses
48,7,Right,Bag
49,3,Right,Cloth
8,7,Left,Bag
10,20,Left,Bag
12,1,Left,Shoe
17,8,Left,Shoe
17,8,Right,Cloth
20,3,Right,Eyeglasses
24,9,Right,Bag
24,10,Left,Shoe
24,9,Left,Cloth
26,2,Left,Cloth
26,14,Right,Shoe
26,5,Right,Shoe
27,2,Right,Shoe
34,13,Right,Eyeglasses
36,1,Right,Bag
42,12,Left,Cloth
41,1,Right,Eyeglasses
48,13,Right,Bag
49,3,Right,Cloth
8,3,Left,Bag
10,7,Left,Bag
12,1,Left,Shoe
16,5,Left,Shoe
18,7,Right,Cloth
20,9,Left,Shoe
23,7,Left,Shoe
24,6,Left,Cloth
25,3,Left,Cloth
25,6,Right,Cloth
26,4,Right,Shoe
28,3,Right,Shoe
28,10,Right,Shoe
36,1,Right,Cloth
38,20,Left,Shoe
