LDist,Dist,LorR,Type
8,5,Left,Bag
12,1,Left,Shoe
24,8,Right,Bag
36,1,Right,Cloth
36,1,Right,Bag
8,3,Left,Bag
14,5,Left,Shoe
16,6,Right,Cloth
24,6,Right,Bag
36,1,Right,Cloth
36,1,Right,Bag
41,2,Right,Eyeglasses
44,3,Left,Shoe
7,5,Left,Bag
11,2,Left,Shoe
35,1,Right,Cloth
35,2,Right,Bag
8,4,Left,Bag
11,2,Left,Shoe
16,14,Right,Cloth
24,12,Right,Bag
36,2,Right,Cloth
36,1,Right,Bag
7,4,Left,Bag
16,2,Left,Cloth
16,7,Right,Cloth
21,10,Right,Bag
27,7,Right,Bag
35,1,Right,Cloth
48,6,Right,Cloth
1,7,Left,Bag
13,1,Left,Shoe
16,10,Right,Cloth
27,7,Right,Bag
39,1,Right,Cloth
39,1,Right,Bag
7,5,Left,Bag
12,1,Left,Shoe
16,8,Right,Cloth
24,7,Right,Bag
36,1,Right,Bag
36,1,Right,Cloth
41,2,Right,Eyeglasses
7,3,Left,Bag
12,1,Left,Shoe
24,6,Right,Bag
25,2,Left,Cloth
36,1,Right,Cloth
36,1,Right,Bag
41,2,Right,Eyeglasses
7,4,Left,Bag
12,0.5,Right,Shoe
17,7,Right,Eyeglasses
19,8,Left,Shoe
25,6,Right,Bag
25,3,Left,Cloth
27,3,Right,Shoe
27,5,Right,Shoe
29,11,Right,Shoe
36,0.5,Right,Bag
37,6,Left,Shoe
50,5,Right,Cloth
50,8,Right,Bag
7,5,Left,Bag
12,1,Right,Shoe
15,8,Right,Cloth
19,10,Left,Shoe
25,10,Right,Bag
25,3,Left,Cloth
27,3,Right,Shoe
27,6,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
49,8,Right,Cloth
8,5,Left,Bag
12,1,Right,Shoe
25,8,Right,Bag
26,3,Right,Shoe
27,5,Right,Shoe
36,1,Right,Bag
49,5,Right,Cloth
7,3,Left,Bag
12,1,Right,Shoe
19,4,Left,Shoe
21,5,Left,Cloth
26,3,Right,Bag
27,2,Right,Shoe
35,1,Right,Bag
35,1,Right,Cloth
36,4,Left,Shoe
50,3,Right,Cloth
48,5,Right,Bag
6,3,Left,Bag
12,1,Right,Shoe
19,6,Left,Shoe
18,8,Left,Cloth
25,2,Left,Cloth
27,1,Right,Shoe
27,3,Right,Shoe
27,6,Right,Bag
36,1,Right,Cloth
36,1,Right,Bag
49,3,Right,Cloth
7,2,Left,Bag
12,1,Right,Shoe
22,4,Left,Shoe
22,5,Right,Bag
26,2,Right,Shoe
26,2,Left,Cloth
28,12,Right,Shoe
36,30,Right,Bag
36,1,Right,Cloth
38,9,Left,Shoe
47,10,Right,Bag
49,4,Right,Cloth
7,3,Left,Bag
12,0,Right,Shoe
18,4,Left,Shoe
25,2,Left,Cloth
25,3,Right,Bag
25,1,Right,Shoe
26,2,Right,Shoe
36,0,Right,Bag
38,4,Left,Shoe
44,7,Right,Bag
44,3,Right,Cloth
6,3,Left,Cloth
12,1,Right,Shoe
20,7,Left,Shoe
25,3,Left,Cloth
27,2,Right,Shoe
27,3,Right,Shoe
27,8,Right,Bag
35,1,Right,Cloth
35,1,Right,Bag
49,5,Right,Cloth
49,10,Right,Bag
7,4,Left,Bag
12,1,Right,Shoe
20,9,Left,Shoe
25,2,Left,Cloth
26,7,Right,Bag
26,6,Right,Shoe
26,2,Right,Shoe
36,1,Right,Bag
38,8,Right,Shoe
48,10,Right,Bag
49,5,Right,Cloth
12,3,Left,Bag
7,1,Left,Shoe
20,5,Left,Shoe
25,2,Left,Cloth
26,3,Right,Shoe
26,2,Right,Shoe
36,1,Right,Bag
38,7,Left,Shoe
46,8,Right,Bag
49,4,Right,Cloth
7,5,Left,Bag
12,1,Right,Shoe
17,6,Right,Eyeglasses
20,9,Left,Shoe
22,12,Left,Cloth
25,3,Left,Cloth
26,10,Right,Bag
27,3,Right,Shoe
29,15,Right,Shoe
36,1,Right,Bag
49,5,Right,Cloth
7,3,Left,Bag
12,1,Right,Shoe
35,1,Right,Bag
7,5,Left,Bag
11,15,Left,Bag
12,1,Left,Shoe
17,7,Left,Shoe
18,10,Right,Cloth
23,10,Left,Shoe
25,12,Right,Cloth
25,2,Left,Cloth
27,2,Right,Shoe
27,15,Right,Shoe
38,1,Right,Bag
39,15,Left,Shoe
48,15,Right,Bag
12,1,Left,Shoe
16,10,Right,Cloth
24,15,Right,Shoe
24,10,Right,Cloth
24,10,Left,Shoe
26,2,Left,Cloth
27,3,Right,Shoe
35,1,Right,Bag
42,10,Left,Shoe
47,15,Right,Bag
49,4,Right,Cloth
9,3,Left,Bag
12,1,Left,Shoe
16,6,Left,Shoe
17,7,Right,Cloth
22,7,Left,Shoe
24,8,Right,Cloth
25,2,Left,Cloth
35,1,Right,Bag
40,12,Left,Cloth
41,2,Right,Eyeglasses
47,15,Right,Bag
49,4,Right,Cloth
9,5,Left,Bag
12,1,Left,Shoe
16,4,Right,Cloth
16,4,Left,Shoe
23,5,Left,Shoe
24,4,Left,Cloth
25,1,Left,Cloth
27,1,Right,Shoe
24,4,Right,Bag
25,10,Right,Shoe
25,4,Left,Cloth
39,1,Right,Bag
39,10,Left,Shoe
41,9,Left,Cloth
41,8,Left,Shoe
47,10,Right,Bag
50,5,Right,Cloth
9,2,Left,Shoe
10,1,Left,Shoe
21,2,Right,Cloth
23,3,Left,Cloth
26,1,Right,Shoe
39,1,Right,Bag
45,,Right,Bag
9,3,Left,Bag
12,1,Left,Shoe
16,5,Left,Cloth
26,2,Left,Cloth
26,2,Right,Shoe
36,1,Right,Bag
8,3,Left,Bag
11,20,Left,Cloth
12,1,Left,Shoe
16,7,Right,Cloth
16,5,Left,Shoe
23,5,Left,Shoe
24,10,Right,Cloth
25,2,Left,Cloth
25,5,Right,Shoe
25,20,Right,Shoe
27,2,Right,Shoe
35,1,Right,Bag
40,12,Left,Cloth
46,20,Right,Bag
49,5,Right,Cloth
8,4,Left,Bag
11,12,Left,Bag
12,1,Left,Shoe
16,5,Left,Shoe
16,7,Right,Cloth
20,10,Left,Shoe
22,10,Left,Shoe
24,6,Left,Cloth
25,2,Left,Cloth
25,10,Right,Cloth
28,2,Right,Shoe
28,15,Right,Shoe
35,1,Right,Bag
38,10,Left,Shoe
42,7,Left,Cloth
48,10,Right,Bag
48,1,Left,Eyeglasses
49,2,Right,Cloth
1,1,Right,Cloth
8,6,Left,Bag
12,2,Left,Shoe
16,8,Left,Shoe
16,10,Right,Cloth
24,10,Right,Bag
24,10,Left,Shoe
25,2,Left,Cloth
27,3,Right,Shoe
36,1,Right,Bag
43,15,Left,Cloth
46,1,Left,Shoe
48,15,Right,Bag
49,8,Right,Cloth
9,6,Left,Bag
12,2,Left,Shoe
16,9,Right,Cloth
16,8,Left,Shoe
23,8,Left,Shoe
24,7,Left,Cloth
25,10,Right,Bag
25,3,Left,Cloth
26,14,Right,Bag
36,1,Right,Bag
40,11,Left,Shoe
47,14,Right,Bag
49,8,Right,Cloth
8,3,Left,Bag
10,7,Left,Bag
11,1,Left,Shoe
16,4,Left,Shoe
23,5,Left,Shoe
23,4,Left,Cloth
24,4,Right,Bag
26,7,Right,Shoe
26,3,Right,Shoe
27,3,Right,Shoe
35,1,Right,Bag
40,8,Left,Shoe
41,2,Right,Eyeglasses
8,3,Left,Bag
10,17,Left,Bag
12,1,Left,Shoe
16,5,Left,Shoe
17,7,Right,Cloth
19,10,Left,Shoe
22,10,Left,Shoe
23,9,Left,Cloth
24,6,Right,Bag
24,2,Left,Cloth
27,1,Right,Shoe
26,10,Right,Shoe
35,1,Right,Bag
47,10,Right,Bag
49,5,Right,Cloth
8,3,Left,Bag
10,6,Left,Bag
12,2,Left,Shoe
16,5,Right,Cloth
16,3,Left,Shoe
23,5,Right,Bag
23,4,Left,Shoe
23,3,Right,Shoe
23,6,Right,Shoe
27,2,Right,Shoe
35,1,Right,Bag
49,3,Right,Cloth
8,4,Left,Bag
12,1,Left,Shoe
16,9,Right,Cloth
24,11,Right,Bag
24,10,Left,Shoe
25,2,Left,Cloth
25,15,Right,Shoe
27,2,Right,Shoe
35,1,Right,Bag
41,2,Right,Eyeglasses
48,15,Right,Bag
49,7,Right,Cloth
8,4,Left,Bag
12,7,Left,Shoe
14,20,Left,Bag
16,8,Left,Shoe
17,8,Right,Cloth
23,10,Right,Bag
23,15,Left,Shoe
25,2,Left,Cloth
26,15,Right,Shoe
27,3,Right,Shoe
35,1,Right,Bag
41,2,Right,Eyeglasses
46,10,Right,Bag
49,4,Right,Cloth
9,7,Right,Bag
12,2,Left,Shoe
16,10,Left,Shoe
23,10,Left,Shoe
23,3,Left,Cloth
35,1,Right,Bag
48,15,Right,Cloth
7,5,Left,Bag
12,2,Left,Shoe
17,10,Left,Shoe
17,10,Right,Cloth
22,10,Left,Shoe
23,10,Right,Bag
24,15,Right,Shoe
27,2,Left,Cloth
36,1,Right,Bag
48,15,Right,Bag
8,3,Left,Bag
11,10,Left,Bag
12,1,Left,Shoe
16,5,Right,Cloth
16,4,Left,Shoe
20,7,Left,Shoe
23,6,Left,Shoe
24,5,Left,Cloth
24,5,Right,Cloth
24,8,Right,Shoe
25,4,Left,Cloth
25,2,Right,Shoe
26,2,Right,Shoe
36,1,Right,Bag
41,7,Left,Cloth
46,8,Right,Bag
48,4,Right,Cloth
7,4,Left,Bag
9,10,Left,Bag
12,1,Left,Shoe
16,8,Right,Cloth
16,9,Left,Shoe
22,17,Left,Shoe
23,13,Left,Shoe
23,12,Right,Cloth
25,20,Right,Shoe
26,1,Left,Cloth
27,1,Right,Shoe
36,1,Right,Bag
42,1,Right,Eyeglasses
47,15,Right,Bag
49,4,Right,Cloth
1,1,Right,Cloth
8,15,Left,Bag
12,4,Left,Shoe
15,14,Left,Shoe
23,12,Right,Cloth
23,12,Left,Shoe
35,1,Right,Bag
41,2,Right,Eyeglasses
48,22,Right,Bag
