LDist,Dist,LorR,Type
8,5,Left,Bag
9,17,Left,Bag
25,9,Right,Bag
36,1,Right,Bag
49,13,Right,Bag
2,17,Left,Cloth
8,19,Left,Cloth
12,11,Right,Cloth
17,9,Right,Cloth
21,15,Left,Cloth
24,7,Left,Cloth
25,3,Left,Cloth
36,1,Right,Cloth
39,13,Left,Cloth
50,5,Right,Cloth
9,11,Left,Eyeglasses
16,15,Left,Eyeglasses
17,7,Left,Eyeglasses
32,19,Left,Eyeglasses
41,3,Right,Eyeglasses
1,19,Left,Shoe
12,1,Left,Shoe
17,7,Left,Shoe
20,11,Left,Shoe
24,9,Left,Shoe
26,5,Right,Shoe
27,3,Right,Shoe
28,15,Right,Shoe
36,17,Left,Shoe
37,13,Left,Shoe
