LDist,Dist,LorR,Type
8,5,Left,Backpack
12,1,Left,Shoe
24,9,Right,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
8,5,Left,Backpack
14,5,Left,Shoe
16,9,Right,Fabric
24,9,Right,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
41,3,Right,Glasses
44,3,Left,Shoe
9,5,Left,Backpack
36,1,Right,Backpack
36,1,Right,Fabric
12,1,Left,Shoe
7,5,Left,Backpack
11,1,Left,Shoe
16,2,Right,Fabric
23,10,Right,Backpack
23,7,Left,Fabric
36,1,Right,Fabric
36,1,Right,Backpack
8,5,Left,Backpack
12,1,Right,Shoe
24,9,Right,Backpack
36,1,Right,Backpack
36,1,Right,Shoe
8,5,Left,Backpack
12,1,Left,Shoe
16,7,Left,Shoe
16,8,Right,Fabric
24,9,Right,Backpack
26,3,Right,Fabric
36,1,Right,Fabric
36,1,Right,Backpack
41,3,Right,Glasses
8,5,Left,Backpack
11,1,Left,Shoe
16,1,Right,Fabric
21,5,Right,Backpack
25,3,Left,Fabric
36,1,Right,Fabric
36,1,Right,Backpack
40,3,Right,Glasses
8,5,Left,Backpack
11,1,Left,Shoe
15,6,Right,Fabric
17,7,Left,Shoe
21,15,Left,Fabric
23,5,Right,Backpack
24,3,Left,Fabric
26,3,Right,Shoe
32,3,Left,Backpack
36,1,Right,Backpack
40,3,Right,Glasses
4,4,Left,Backpack
7,17,Left,Backpack
8,2,Left,Shoe
16,7,Left,Shoe
16,8,Right,Shoe
21,15,Left,Fabric
22,5,Right,Backpack
26,3,Right,Shoe
32,3,Right,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
38,2,Right,Glasses
7,5,Left,Backpack
11,1,Left,Shoe
35,1,Right,Fabric
35,1,Right,Backpack
8,5,Left,Backpack
11,1,Left,Shoe
16,9,Right,Fabric
24,9,Right,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
7,5,Left,Backpack
16,2,Left,Fabric
16,9,Right,Fabric
21,10,Right,Backpack
27,7,Right,Backpack
35,1,Right,Fabric
48,6,Right,Fabric
1,7,Left,Backpack
13,1,Left,Shoe
16,9,Right,Fabric
27,7,Right,Backpack
39,1,Right,Fabric
39,1,Right,Backpack
12,1,Left,Shoe
36,1,Right,Backpack
36,1,Right,Fabric
8,5,Left,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
7,5,Left,Backpack
12,1,Left,Shoe
16,9,Right,Fabric
24,9,Right,Backpack
36,1,Right,Backpack
36,1,Right,Fabric
41,3,Right,Glasses
5,6,Left,Backpack
10,2,Left,Shoe
23,8,Right,Backpack
25,3,Left,Fabric
34,1,Right,Backpack
34,2,Right,Fabric
37,4,Right,Glasses
7,5,Left,Backpack
24,9,Right,Backpack
36,1,Right,Shoe
36,1,Right,Backpack
7,5,Left,Backpack
12,1,Left,Shoe
24,9,Right,Backpack
25,3,Left,Fabric
36,1,Right,Fabric
36,1,Right,Backpack
41,3,Right,Glasses
8,17,Left,Backpack
14,8,Left,Fabric
24,9,Right,Backpack
36,1,Right,Backpack
36,1,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
17,7,Right,Glasses
19,11,Left,Shoe
25,9,Right,Backpack
25,3,Left,Fabric
27,3,Right,Shoe
27,5,Right,Shoe
29,15,Right,Shoe
36,1,Right,Backpack
37,13,Left,Shoe
50,5,Right,Fabric
50,13,Right,Backpack
10,5,Left,Backpack
10,1,Right,Shoe
30,10,Left,Shoe
25,7,Left,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
15,8,Right,Fabric
19,11,Left,Shoe
25,9,Right,Backpack
25,3,Left,Fabric
27,3,Right,Shoe
27,5,Right,Shoe
35,1,Right,Backpack
35,1,Right,Fabric
49,5,Right,Fabric
8,5,Left,Backpack
12,1,Right,Shoe
25,9,Right,Backpack
26,3,Right,Shoe
27,5,Right,Shoe
36,1,Right,Backpack
49,5,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
20,11,Left,Shoe
25,9,Right,Backpack
26,5,Right,Shoe
27,3,Right,Shoe
36,1,Right,Backpack
36,1,Right,Fabric
49,5,Right,Fabric
6,3,Left,Backpack
20,11,Left,Shoe
26,9,Right,Backpack
26,3,Left,Fabric
27,3,Right,Shoe
27,3,Right,Shoe
36,1,Right,Backpack
49,13,Right,Backpack
50,5,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
19,11,Left,Shoe
21,15,Left,Fabric
26,9,Right,Backpack
27,3,Right,Shoe
35,1,Right,Backpack
35,1,Right,Fabric
36,13,Left,Shoe
50,5,Right,Fabric
48,13,Right,Backpack
6,3,Left,Backpack
12,1,Right,Shoe
19,11,Left,Shoe
18,9,Left,Fabric
25,3,Left,Fabric
27,3,Right,Shoe
27,3,Right,Shoe
27,6,Right,Backpack
36,1,Right,Fabric
36,1,Right,Backpack
49,5,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
22,4,Left,Shoe
22,5,Right,Backpack
26,3,Right,Shoe
26,3,Left,Fabric
28,15,Right,Shoe
36,1,Right,Backpack
36,1,Right,Fabric
38,13,Left,Shoe
47,10,Right,Backpack
49,5,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
14,2,Right,Glasses
16,7,Right,Glasses
20,11,Left,Shoe
25,9,Right,Backpack
25,3,Left,Fabric
26,5,Right,Shoe
26,5,Right,Shoe
28,15,Right,Shoe
35,1,Right,Backpack
35,1,Right,Fabric
37,13,Left,Shoe
49,5,Right,Fabric
49,13,Right,Backpack
8,5,Left,Backpack
12,1,Right,Shoe
21,11,Left,Shoe
26,3,Right,Shoe
26,3,Left,Fabric
26,9,Right,Backpack
26,3,Right,Shoe
36,1,Right,Backpack
36,1,Right,Fabric
47,10,Right,Backpack
49,5,Right,Fabric
7,5,Left,Backpack
12,1,Right,Shoe
14,1,Right,Glasses
17,7,Right,Glasses
