LDist,Dist,LorR,Type
1,7,Left,Backpack
1,8,Left,Backpack
1,5,Left,Backpack
1,8,Left,Backpack
1,4,Right,Backpack
1,4,Right,Backpack
1,2,Right,Backpack
2,3,Left,Backpack
2,5,Right,Backpack
3,4,Left,Backpack
3,5,Left,Backpack
3,20,Left,Backpack
3,6,Left,Backpack
3,4,Right,Backpack
3,2,Right,Backpack
3,1,Right,Backpack
3,2,Right,Backpack
4,5,Left,Backpack
4,4,Left,Backpack
4,4,Left,Backpack
4,2,Left,Backpack
4,3,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,4,Left,Backpack
4,6,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,8,Left,Backpack
4,7,Left,Backpack
4,3,Left,Backpack
4,5,Left,Backpack
4,6,Left,Backpack
4,6,Left,Backpack
4,6,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,6,Left,Backpack
4,7,Left,Backpack
4,7,Left,Backpack
4,3,Left,Backpack
4,4,Left,Backpack
4,6,Left,Backpack
4,5,Left,Backpack
4,5,Left,Backpack
4,4,Right,Backpack
4,2,Right,Backpack
4,4,Right,Backpack
4,10,Right,Backpack
4,3,Right,Backpack
4,2,Right,Backpack
4,2,Right,Backpack
4,3,Right,Backpack
4,4,Right,Backpack
4,2,Right,Backpack
4,4,Right,Backpack
4,4,Right,Backpack
4,2,Right,Backpack
4,3,Right,Backpack
4,5,Right,Backpack
4,6,Right,Backpack
4,2,Right,Backpack
4,5,Right,Backpack
4,4,Right,Backpack
4,4,Right,Backpack
4,3,Right,Backpack
4,2,Right,Backpack
4,3,Right,Backpack
4,4,Right,Backpack
4,3,Right,Backpack
4,4,Right,Backpack
4,3,Right,Backpack
4,2,Right,Backpack
4,3,Right,Backpack
5,5,Left,Backpack
5,8,Left,Backpack
5,5,Left,Backpack
5,6,Left,Backpack
5,5,Left,Backpack
5,4,Left,Backpack
5,5,Left,Backpack
5,7,Left,Backpack
5,6,Left,Backpack
5,2,Left,Backpack
5,4,Left,Backpack
5,5,Left,Backpack
5,3,Left,Backpack
5,5,Left,Backpack
5,6,Left,Backpack
5,8,Left,Backpack
5,5,Left,Backpack
5,8,Left,Backpack
5,5,Left,Backpack
5,4,Left,Backpack
5,5,Left,Backpack
5,5,Left,Backpack
5,6,Left,Backpack
5,7,Left,Backpack
5,4,Left,Backpack
5,6,Left,Backpack
5,8,Left,Backpack
5,4,Left,Backpack
5,7,Left,Backpack
5,10,Left,Backpack
5,9,Left,Backpack
5,5,Left,Backpack
5,8,Left,Backpack
5,10,Left,Backpack
5,4,Left,Backpack
5,5,Left,Backpack
5,3,Left,Backpack
5,5,Left,Backpack
5,5,Left,Backpack
5,8,Left,Backpack
5,7,Left,Backpack
5,7,Left,Backpack
5,8,Left,Backpack
5,4,Right,Backpack
5,5,Right,Backpack
5,2,Right,Backpack
5,5,Right,Backpack
5,6,Right,Backpack
5,2,Right,Backpack
5,3,Right,Backpack
5,5,Right,Backpack
5,5,Right,Backpack
5,4,Right,Backpack
5,3,Right,Backpack
5,1,Right,Backpack
5,5,Right,Backpack
5,6,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,4,Right,Backpack
5,4,Right,Backpack
5,3,Right,Backpack
5,5,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,5,Right,Backpack
5,5,Right,Backpack
5,5,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,2,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,4,Right,Backpack
5,4,Right,Backpack
5,4,Right,Backpack
5,2,Right,Backpack
5,4,Right,Backpack
5,5,Right,Backpack
5,4,Right,Backpack
5,3,Right,Backpack
5,5,Right,Backpack
5,3,Right,Backpack
5,3,Right,Backpack
5,2,Right,Backpack
5,3,Right,Backpack
6,5,Left,Backpack
6,2,Right,Backpack
6,3,Right,Backpack
6,3,Right,Backpack
7,6,Left,Backpack
7,6,Left,Backpack
7,4,Left,Backpack
7,8,Left,Backpack
8,7,Left,Backpack
9,4,Left,Backpack
10,7,Left,Backpack
10,12,Left,Backpack
10,5,Left,Backpack
11,10,Left,Backpack
11,10,Left,Backpack
11,2,Left,Backpack
11,15,Left,Backpack
12,11,Left,Backpack
12,7,Left,Backpack
12,15,Left,Backpack
12,6,Left,Backpack
12,15,Left,Backpack
12,10,Left,Backpack
13,11,Left,Backpack
13,6,Left,Backpack
13,3,Left,Backpack
13,9,Left,Backpack
13,12,Left,Backpack
14,5,Left,Backpack
14,10,Left,Backpack
14,4,Right,Backpack
17,17,Left,Backpack
19,30,Left,Backpack
20,12,Left,Backpack
20,10,Left,Backpack
20,15,Left,Backpack
24,30,Left,Backpack
32,17,Left,Backpack
38,20,Left,Backpack
39,10,Left,Backpack
39,20,Left,Backpack
39,5,Left,Backpack
39,10,Left,Backpack
40,17,Left,Backpack
40,15,Left,Backpack
40,15,Left,Backpack
40,12,Left,Backpack
40,15,Left,Backpack
40,6,Left,Backpack
40,30,Left,Backpack
40,9,Left,Backpack
40,10,Left,Backpack
40,20,Left,Backpack
40,6,Left,Backpack
41,10,Left,Backpack
41,16,Left,Backpack
41,30,Left,Backpack
42,4,Left,Backpack
42,15,Left,Backpack
43,6,Left,Backpack
43,14,Left,Backpack
46,10,Left,Backpack
4,4,Left,Fabric
4,21,Left,Fabric
4,4,Left,Fabric
5,6,Right,Fabric
7,4,Right,Fabric
7,7,Right,Fabric
7,2,Right,Fabric
8,5,Right,Fabric
9,10,Left,Fabric
10,10,Left,Fabric
10,1,Right,Fabric
12,8,Left,Fabric
12,2,Right,Fabric
