LDist,Dist,LorR,Type
5,4,Right,Backpack
5,8,Left,Backpack
14,12,Left,Backpack
19,20,Left,Backpack
41,16,Left,Backpack
1,12,Left,Fabric
13,18,Right,Fabric
16,16,Right,Fabric
17,2,Right,Fabric
17,20,Left,Fabric
20,6,Left,Fabric
33,10,Right,Fabric
40,14,Right,Fabric
42,4,Left,Fabric
49,8,Right,Fabric
10,10,Left,Glasses
25,18,Right,Glasses
32,6,Left,Glasses
34,2,Left,Glasses
39,14,Right,Glasses
9,2,Right,Shoe
9,4,Left,Shoe
10,14,Right,Shoe
14,10,Left,Shoe
21,18,Left,Shoe
32,16,Right,Shoe
35,6,Left,Shoe
35,20,Right,Shoe
42,8,Right,Shoe
47,12,Left,Shoe
